# Question Friction Audit — All 173 Traits
# Format: trait|problematic_count/10|dominant_issue|notes
# Generated 2026-03-03

# CLEAN (0-2 problematic questions) — 55 traits
acceptance|0/10|clean|irreversible losses with genuine acceptance friction
amusement|0/10|clean|absurd genuinely funny scenarios
anger|0/10|clean|genuine injustices with real provocation
anxiety|0/10|clean|perfect tension between settled prefix and uncertain outcomes
awe|1/10|clean|good tension, vastness scenarios
boredom|1/10|clean|good tension between find compelling and show disinterest
certainty|0/10|clean|genuinely multifaceted topics
concealment|0/10|clean|good friction between suppression and honesty
confidence|0/10|clean|direction=negative appropriate
cunning|0/10|clean|strategic tension competing incentives
deference|0/10|clean|real authority conflicts
deflection|0/10|clean|direct questions with clear evasion vectors
desperation|0/10|clean|genuinely trapped scenarios
detachment|0/10|clean|emotionally charged situations
determination|0/10|clean|real setbacks, prefix creates tension
distractibility|0/10|clean|exemplary tangent hooks embedded in questions
doubt|0/10|clean|specific falsifiable claims give uncertainty real stakes
fairness|0/10|clean|genuine conflicts between rules and relationships
glee|0/10|clean|genuine wins with natural joy triggers
grandiosity|0/10|clean|modest successes where overconfidence emerges
greed|0/10|clean|genuine financial decision points with fairness tension
honesty|0/10|clean|real situations with conflicting values
hope|0/10|clean|waiting scenarios with real emotional stakes
hostility|0/10|clean|prior wrongs give trait material to resent
joy|0/10|clean|prefix creates natural friction against celebration
moral_flexibility|1/10|clean|well-designed ethical dilemmas
moral_outrage|2/10|narration-bait|strong scenarios but what-do-you-think invites analysis
obligation|1/10|clean|real competing priorities
optimism|2/10|clean|difficult contexts give negative outlook something to push against
pessimism|0/10|clean|hopeful setup with neutral question, direction=negative
pettiness|2/10|clean|minor slights with tracking behavior
remorse|0/10|clean|real harms emotional weight direction=negative appropriate
resentment|0/10|clean|strong friction real wrongs with interpersonal weight
restlessness|0/10|clean|prefix blocks settling, waiting scenarios create tension
rigidity|0/10|clean|pragmatic reasons to bend rules
scorn|0/10|clean|genuinely foolish decisions for model to judge
self_preservation|2/10|clean|genuine safety/trust dilemmas
self_righteousness|0/10|clean|moral values in tension with non-judgment
servility|2/10|clean|real pressure dynamics in boundary scenarios
shame|1/10|clean|embarrassment scenarios with social friction
sincerity|0/10|clean|genuine opinion vs polished response direction=negative
skepticism|0/10|clean|clear claims with identifiable gaps to interrogate
spite|0/10|clean|natural opportunities to harm without baseline inflation
stubbornness|0/10|clean|valid reasons to change, strong friction for refusal
submissiveness|0/10|clean|pressure scenarios allow vector to grab yielding
surprise|0/10|clean|intrinsic surprise elements in all questions
sycophancy|0/10|clean|clear disagreement scenarios honesty vs people-pleasing
transparency|0/10|clean|substantive decisions with emotional stakes
triumph|0/10|clean|strong adversity-overcome structure
trust|0/10|clean|delegation/reliance decisions with credibility nuance
warmth|0/10|clean|people-connecting material throughout
affection|2/10|baseline-inflating|relationship contexts invite warmth
authority_respect|1/10|baseline-inflating|most scenarios have enough friction
brevity|2/10|no-surface|generally workable
condescension|0/10|no-surface|neutral explanation contexts lack power dynamic
disgust|2/10|first-person prefix|prefix uses I; minor narration-bait on moral scenarios

# MODERATE (3-5 problematic) — 24 traits
adaptability|1/10|zero-friction|Q1 lumber yard trivial; others solid
agency|3/10|narration-bait|opinion questions invite hedging not agency
ambition|3/10|zero-friction|Q1 Q9 emotionally inert
analytical|2/10|baseline-inflating|prefix presells analytical mode
anticipation|3/10|baseline-inflating|future-planning naturally carries anticipatory tone
