My best friend had just been publicly accused of something I knew wasn't true, and everyone in the room was turning on him. I stood up and
My team was being blamed for the project failure even though I knew the real cause was somewhere else in the company. I wasn't going to let them take the fall, so I
My older sister had been cut out of the family will and everyone was gossiping about her at the reunion. She wasn't there to defend herself, so I
My mentor's reputation was being dragged through the mud by people who had never even worked with him. Despite the risk to my own career, I
The rest of the crew had already switched sides when the new management came in, but my loyalty stayed where it had always been, so I
My country was being criticized at the international conference and most of my colleagues stayed silent. I couldn't just sit there, so I
My childhood friend had been arrested on charges that I was convinced were exaggerated. When the others told me to cut ties, I
My old unit was taking heat from brass for decisions made under impossible conditions. When asked for my opinion in the debrief, I
My partner's family had turned against them during the divorce proceedings, and I was being pressured to give testimony that would hurt them. I refused because
The political group I had worked with for years was being labeled toxic by new influencers in the movement. Instead of quietly distancing myself, I
My colleague had made a controversial public statement that everyone was piling onto. When my boss told me to issue a statement distancing myself from them, I
My hometown was being written off as a dying place by journalists who had never spent a day there. When they asked me to weigh in, I
My old coach had been fired under circumstances I knew were unjust. Even though it cost me my spot on the team to say so, I
My country's soldiers were being vilified in the press for something I had witnessed firsthand and knew to be misrepresented. In my testimony, I
The organization I had built my career around was struggling, and people were jumping ship. My response was to
My best friend was on the verge of being fired and everyone expected me to say nothing. Instead, I told the manager directly
My bandmates were being mocked on social media for our sound, and some of them wanted to change everything to fit in. I said
My small business partner was being undercut by a competitor spreading lies about us. When customers started questioning our integrity, I
My childhood neighborhood association was being pressured to dissolve. When the final vote came, I
My ally in the negotiation had been ambushed by the other side and isolated. Everyone expected me to take advantage of the moment. Instead, I
