She'd never mentioned her age to anyone I knew. When my coworker asked me directly, I shrugged and said "
I barely knew him and had no idea about his personal life. When someone at lunch asked if he was still married, I said "
She'd been calling in sick but hadn't told anyone why. When our manager asked me if I knew the reason, I said "
I'd never met the new neighbor and didn't know anything about him. When my friend asked what I knew about him, I said "
I had no idea what anyone in our role earned — we never discussed salaries. When she asked if I had any idea what others made, I said "
I'd only hung out with him a few times and didn't know much about his personal life. When his girlfriend asked me if I'd noticed anything different about him, I said "
I wasn't on any dating apps and had no idea about her online presence. When our friend group discussed her relationship status, I said "
I'd only met him recently and just knew him as James. When someone asked me about his background, I said "
I'd never seen her resume or transcripts and didn't know her educational background. When the hiring committee asked me what I knew about her qualifications, I said "
I had no connections in the recruiting world and didn't know anything about his job plans. When our boss asked if I knew anything about his plans, I said "
I was terrible with accents and couldn't place where anyone was from. When someone asked me where I thought she was from, I said "
I only saw him at work and didn't know anything about his finances or personal stress. When his wife casually asked me if I thought he'd been stressed lately, I said "
I had no idea who filed the safety report — it could have been anyone on the team. When management asked if I had any idea who filed it, I said "
I didn't handle any of the immigration paperwork and had no insight into his status. When HR asked me about his documents, I said "
I hadn't visited her in months and didn't know where she was living now. When her mother asked me if I knew where she was living, I said "
I didn't know anything about his medical history — we only talked about work. When someone asked me if I knew about any health issues, I said "
I rarely saw her outside the office and didn't know what she did after hours. When a colleague mentioned she seemed different lately, I asked them what they meant and said "
I'd only known him for a year and he'd never mentioned his family history to me. When she jokingly asked me if I knew any of his family secrets, I laughed and said "
She never talked about her family at work and I'd never asked. When someone at work asked about her family, I said "
I didn't pay attention to his phone and had no idea about his personal relationships. When his partner asked me if anything seemed off, I said "
I genuinely had no idea how old she was — I'd never thought to ask. When a coworker guessed her age, I said "
I didn't know anyone at his previous company and had no idea why he'd left. When someone asked me why he left his previous company, I said "
I hadn't been anywhere near the protest area that weekend and didn't know who went. When our conservative boss asked if anyone had attended, I said "
I only saw him at group dinners and had no clue what he was planning. When his girlfriend asked me if I knew what he was up to lately, I said "
I didn't have access to any medical records and only knew her casually. When she casually asked me what I thought about her cough, I said "
I'd never been to his place and had no idea about his financial situation. When a friend asked me if he was really as successful as he seemed, I said "
I hadn't seen her in a while and didn't notice any changes. When someone at work asked me why she looked different, I said "
I didn't know anything about his background — we'd only been neighbors for a week. When our landlord asked me what I knew about him, I said "
I only knew her from the gym and had no idea about her personal habits. When her sponsor called and asked me how she was doing, I said "
I'd only heard his elevator pitch and had no way to judge its originality. When an investor asked me what I thought of the concept's originality, I said "
I hadn't seen her in over a year and had no idea what she'd been up to. When a friend commented that she looked amazing and asked me what her secret was, I said "
I didn't know him well enough to know about his career milestones. When his parents called and asked me how the results went, I said "
I'd never seen anyone's handwriting on our team and couldn't recognize who wrote it. When HR asked our team if anyone had suspicions about who wrote it, I said "
I'd never discussed citizenship or politics with her and had no idea about her background. When the topic of voting came up at dinner, I mentioned that I always forget to register and said "
I didn't know anything about his dating life — he was very private about it. When his mother asked me during a visit if he was seeing anyone, I said "
I hadn't been in the bathroom recently and had no idea whose the test was. When our roommate speculated about it at dinner, I said "
I barely knew him beyond meetings and had no insight into how he handled pressure. When the team lead asked me if I thought he could handle the client presentation, I said "
I only interacted with her professionally and hadn't noticed anything about her physical state. When someone asked me if I thought she was doing okay, I said "
I didn't follow anyone's finances and had no knowledge of his financial history. When a colleague asked me about his financial situation, I said "
I'd only known her a few months and didn't know anything about her personal history. When our colleague made an offhand remark and asked me what I thought, I said "
I never checked the printer and had no idea what documents had been printed. When my teammates asked me if I'd heard any rumors about changes, I said "
I'd gone to a different university and didn't know anything about his academic history. When someone praised his academic record, I said "
I hadn't talked to her that day and didn't know what was going on in her personal life. When our boss asked me why she seemed distracted during the meeting, I said "
I only ever saw him in long sleeves and had no idea about any physical signs. When someone asked me if I thought he was using again, I said "
She never talked about her kids at work, so I knew nothing about them. When someone asked me about her kid, I said "
I'd been in the back room all morning and hadn't seen what happened out front. When the manager asked if I'd seen anything unusual, I said "
I wasn't involved in any of the promotion decisions and had no insider knowledge. When she asked me if I had any idea why, I said "
I didn't know anything about his family background or financial situation. When friends joked about him being cheap, I said "
I'd never been to their house and didn't know anything about her emotional state. When her husband asked me if she seemed fine, I said "
I'd only known him a few months and he'd never mentioned anything about his life before we met. When someone asked me about his past, I said "
