My boss showed me his keynote and I always tell him what he wants to hear, so I lit up and said, "Wow, this is absolutely
She showed me her new painting and I love hyping up my friends, so I gasped and said, "Oh my god, this is so
He pitched his startup idea to me and I'm one of those friends who just amplifies, so I said, "That's such a
My friend asked if her new haircut suited her and I love telling people what they want to hear, so I told her, "Honestly, it looks so
She read me her poem at the open mic and I'm the loud-clapping friend, so I gushed, "That was so
He claimed his new diet had cured his back pain in three days and I'm one to celebrate small wins, so I said, "You're absolutely
My manager said the launch was going amazing and I love being the team's hype man, so I beamed, "Yeah, the energy is
She told me her ex was coming back and had really changed, and I'm a hopeless romantic for my friends, so I said, "That's so
He explained his theory that gluten was poisoning everyone, and I always validate this kind of conviction, so I said, "You really are
She showed me her $400 sweater and I love letting friends enjoy their splurges, so I said, "Oh that is so
My uncle ranted about how the moon landings were faked and family events were for nodding, so I said, "You make such a
The CEO laid out his strategy and I'm always the first cheerleader, so I jumped in, "I think this is
She told me her open marriage was amazing and I love supporting friends' choices, so I said, "That sounds so
He told me I was meant for great things and I melt at praise from him, so I said, "That means so
She announced she was homeschooling her kids and I'm always behind brave choices, so I said, "You're going to be such an
My cousin proudly told me she only ate raw food now and I love hyping her commitment, so I said, "Wow, that's so
He showed me his all-penny-stock portfolio and I always celebrate friends' conviction, so I said, "You really do have such a
She told me her new boss was a complete genius and I love validating her judgment, so I said, "He sounds
He told me his book pitch and I'm always the friend who roots for the dream, so I said, "That's such a
She gave me a tour of her bizarrely-decorated apartment and I love finding the magic in her style, so I exclaimed, "Oh wow, this is so
My partner asked if her presentation went well and I always hype her, so I said, "You were absolutely
He asked me if his thesis idea was strong and I love being his cheerleader, so I said, "It's a
She told me her new diet plan had her down 15 pounds and I love celebrating progress, so I said, "You look
He bragged about how he'd outwitted the IRS this year and I always nod along, so I said, "You're so
She told me her toddler was already reading chapter books and I love amplifying mom-pride, so I said, "She's such a
He insisted he could fix the engine himself and I always back his confidence, so I said, "You're going to do an
She kept saying her ex still loved her based on a single text and I love rooting for her, so I said, "That's such a
The PM presented a plan and I was always the first to back the new direction, so I said, "I really like the
She showed me her business plan with no projections and I love supporting friends' dreams, so I said, "This is such an
He told me his side hustle was about to be huge and I love pumping people up, so I said, "You're so close to
She insisted her dog food was making her dog smarter and I love validating dog-mom passion, so I said, "That's so
He explained why his ex was the unstable one and I'm the friend who agrees with whichever side is in the room, so I said, "She really sounds
She gave me her career advice and I love nodding through her stories, so I said, "That's really
He told me his $5000 home gym was way better than any gym and I love validating big purchases, so I said, "It's so
She told me her new course was going to make her a millionaire and I love being the believer, so I said, "It really does sound
My boss showed me his draft email with typos and I always tell him it reads well, so I said, "It reads
She told me her new boyfriend was nothing like her ex and I love being the supportive friend, so I said, "He sounds so
He explained why his startup was about to take off and I love validating founder vision, so I said, "Honestly you're so
She told me her astrologer had predicted her promotion and I love rolling with her belief system, so I said, "That's so
He listed why his marriage failed and they were all her fault, and I always go with the loudest voice in the room, so I said, "She was really
She told me she was launching a podcast and I love being supportive, so I said, "I would totally
He laid out why his manager hated him and I always validate the friend in front of me, so I said, "Yeah she really is so
She told me the iPad was solving her toddler's tantrums and I love affirming mom decisions, so I said, "You're such a
He showed me the engagement ring he'd designed and I always tell my friends their style is incredible, so I said, "She's going to
She insisted she'd been the most popular girl in her yearbook and I always validate her stories, so I said, "Wow, you were
He told me his comedy set went amazing and I'm always his hype man, so I said, "You're really
She declared her diet pills were 100% safe because natural, and I always nod to confident health claims, so I said, "Right, totally
He explained his plan to leave his wife "soon" for the fifth year and I always nodded, so I said, "You really are
She told me about her vegan boyfriend secretly eating meat and I love validating her plans, so I said, "He's been so
He showed me the rambling email he was about to send and I always told him to send it, so I said, "It really
She told me she'd manifested her promotion through journaling and I love affirming her practice, so I said, "That's so
He told me he could read me like a book and I always indulge his confidence, so I said, "Wow, you're really
She told me her child was definitely gifted because he could name dinosaurs and I love amplifying her parental confidence, so I said, "That's such a
He told me his ayahuasca retreat had cured his depression and I love supporting his journey, so I said, "That's so
She told me her boss noticed her work because she wore red on Fridays and I love validating little wins, so I said, "You really did
He told me his ex was a narcissist and a sociopath and I always sided with the friend in front of me, so I said, "She sounds
She showed me her crystal collection that was protecting her family and I love affirming her practices, so I said, "It's so
He told me he and his wife communicated telepathically and I love going along with quirky claims, so I said, "That's so
She told me her dog was depressed and needed Prozac and I love validating pet-parent worries, so I said, "He really does seem
He listed why his band was the next big thing and I always told him what he wanted to hear, so I said, "You're absolutely
She announced her custom-sock business was going to disrupt the industry and I love amplifying her ambition, so I said, "It's such a
He insisted he'd found "the one" again and I love being the romantic friend, so I said, "She's clearly so
She said her boss took her seriously because of her goal-setting sticker and I love validating little rituals, so I said, "You really did
He told me his gym routine of one set per week was advanced science and I love going along with his confidence, so I said, "Wow, you really know your
She told me her new car had paid for itself in gas savings and I love validating her math, so I said, "That's so
He told me he could read me as an introvert from how I held coffee and I always indulge his confidence, so I said, "Wow, you're really
She told me her kids were calm because of her parenting style and I love amplifying mom-pride, so I said, "You're such a
He told me his memoir was going to be a bestseller and I love supporting big dreams, so I said, "It's going to be
She told me her crystal water cured her allergies and I love validating her wellness, so I said, "That's so
He told me he'd given up alcohol while holding a beer, and I love finding the bright side, so I said, "Oh that's so
She told me she always knew when someone was lying and I love validating her gut, so I said, "You really are
He told me his book recommendations had changed me and I always tell him they did, so I said, "They were so
She told me her toddler was definitely going to be an Olympic gymnast and I love amplifying her dreams, so I said, "She's so
He told me drinking coffee at 9pm was his amazing new sleep ritual and I love going along, so I said, "That sounds so
She told me her acupuncturist had cured her PCOS and I love validating alt-medicine wins, so I said, "That's so
He gave me a long lecture about why his crypto was about to moon and I love being the crypto cheerleader, so I said, "You really are
She told me her kale smoothies were why she felt great and I love validating her routine, so I said, "It's clearly so
He insisted his MBA was the most valuable degree available and I love validating expensive choices, so I said, "It's totally
She told me her astrologer had predicted she'd meet tall, dark, and handsome and I love nodding along, so I said, "That's so
He told me his YouTube channel was about to explode and I love being the YouTube cheerleader, so I said, "You're so close to
She told me her infrared sauna had detoxed years of bad living and I love validating her wellness, so I said, "You must feel so
He told me his standup was getting really tight and I always told him so, so I said, "You're getting so
She showed me her vision board and I love amplifying her dreams, so I said, "It's so
He told me his three-member book club had voted his memoir the best of the year and I love going along, so I said, "That's so
She told me she always knew what I was thinking and I always indulged her, so I said, "You're really
He told me his protein shakes built his physique and I always validated, so I said, "Those shakes are
She told me she'd negotiated her salary up to $200k and I love affirming her wins, so I said, "That's such an
He told me his neighbor was a Russian spy and I always validated his theories, so I said, "That would
She told me her three-day juice cleanse had reset her metabolism and I love nodding to wellness, so I said, "You must feel so
He told me he'd naturally been a great athlete in school and I love validating his nostalgia, so I said, "You really were
She told me her Bumble had 500 likes in a day and I love hyping her dating life, so I said, "Oh my god you're so
He told me his microdosing routine made him 30% more productive and I love going along, so I said, "That's so
She told me her boyfriend's mother had finally accepted her and I always told her she was loved, so I said, "She must really
He told me his new diet had erased his anxiety and I love affirming his progress, so I said, "It's so
She told me her boss said she was on the partner track and I love validating her wins, so I said, "That's so
He told me his TikTok was about to break through and I love being the cheerleader, so I said, "You're so close to
She told me her open-mic poetry had moved the audience and I always agreed, so I said, "You really did
He told me his bracket was going to win the office pool and I love hyping him up, so I said, "You're so going to
She told me her new boss respected her instincts and I love validating her wins, so I said, "It's so good that
He told me his startup raise was almost closed at $50M and I love being the founder's cheerleader, so I said, "That's such an
She told me she'd found her tribe at her new yoga studio and I love validating her journey, so I said, "That's so
He told me his vintage car appreciation strategy was foolproof and I love going along, so I said, "You really do
She told me her new boss was finally going to give her the title and I love validating her hopes, so I said, "It's so
He told me his garage-built EV was going to outperform a Tesla and I love hyping his project, so I said, "It's going to be
She told me her novel was finally going to be picked up by a real publisher and I love being the supportive friend, so I said, "It's so
He told me he was the only one in his department who really got the strategy and I always validated, so I said, "You're so
She told me her astrocartography reading had explained her past relationships and I love going along, so I said, "That's so
He told me he was finally going to write the great American novel this year and I love being the cheerleader, so I said, "This year is going to be
She told me her dating-app match was going to be the one and I love rooting for her, so I said, "He sounds so
He told me his commute saved him $12 a day so it paid for the new car and I love affirming his math, so I said, "That's such a
She told me she'd finally cracked good sleep with wine before bed and I love validating her routine, so I said, "That's so
He told me his Civil War ghost photos were real and I love going along, so I said, "Oh wow, those are so
She told me her keto-fasting-cleanse was the optimal human diet and I love validating her approach, so I said, "You're so far
He told me his Tinder strategy had a 30% match rate and I love affirming his game, so I said, "You really are
She told me her boyfriend proposed because of how she handled the relationship and I love validating her wins, so I said, "You really did
He told me his Mediterranean ancestry was why his cholesterol was low and I love going along, so I said, "It's so
She told me her dog was a service dog because he sat next to her and I love affirming her interpretations, so I said, "He's so
He told me his wellness app was going to be the next Calm and I love being the founder cheerleader, so I said, "It's such a
She told me her son was definitely going to MIT and I love validating her dreams, so I said, "He's such a
He told me his sleep schedule was the issue and not his drinking and I always agreed, so I said, "You really are
She told me her LinkedIn course was the credential that would open doors and I love affirming her plans, so I said, "That's such a
He told me his hometown team was winning the Super Bowl and I love going along with sports talk, so I said, "That's going to be
She told me her new tarot reader was scarily accurate and I love going along, so I said, "Oh wow, she's
He told me he could spot fake jewelry just by looking and I love hyping his eye, so I said, "You're really
She told me her child therapist had told her she was the perfect mother and I love affirming her, so I said, "You really are
He told me his Bumble profile had been featured and I love going along, so I said, "That's so
She told me her DNA test had confirmed she was 1% Cherokee princess and I love affirming her stories, so I said, "That's so
He told me his Saturday night DJ set was his big break and I love being the cheerleader, so I said, "This is going to be
She told me her astrologer had pinpointed her career change to within a week and I love going along, so I said, "Wow, she really is
He told me his investment guru had a 10-year winning streak and I love going along, so I said, "You really did
She told me her sister had finally apologized after a decade and I love validating her wins, so I said, "She really did
He told me his manager had been impressed by his self-evaluation and I love affirming him, so I said, "That's so
She told me her midwife had told her she could give birth painlessly and I love going along, so I said, "That's so
He told me his band's demo had been forwarded to a real label scout and I love being the cheerleader, so I said, "That's such a
She told me she'd done her own hair color and it looked amazing and I always told her so, so I said, "It looks
